"id","item_name","short_description","item_tags","created_at"
"43","Advanced Fabrication Patent","A set of advanced fabricators","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"44","Advanced Furniture Patent","A set of furniture","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"45","Advanced Garment Fabricator Patent","Fabricates armor and stillsuits","[""Items.Consumables.BuildableSets"",""LootTier.3"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"46","Advanced Gun Parts","A fabrication component found in loot","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"47","Advanced Kinetic Suspensor Belt","Temp short desc","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"48","Advanced Lighting Patent","A set of advanced lights","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"49","Advanced Machinery","A crafting component found in the Deep Desert.","[""Items.CraftedResources"",""LootTier.6"",""Loot.Component"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"50","Advanced Machinery Schematic","N/A","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"51","Advanced Mechanical Parts","A Great House component used in fabrication","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"52","Advanced Micro-sandwich Fabric","A Fremen component used in fabrication","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"53","Advanced Particle Capacitor","An Old Imperial component used in fabrication","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"54","Advanced Particulate Filter","An advanced filter crafted in an Advanced Survival Fabricator.","[""Items.RefinedResources.Fuel"",""LootTier.6"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"55","Advanced Plasteel Microflora Fiber","A Great House component used in fabrication","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"56","Advanced Reaper Gloves","Special gloves design to maximize water gathering.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"57","Advanced Reaper Gloves Schematic","A schematic for special gloves designed to maximize water gathering.","[""Items.Schematics.Clothes.ScoutArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"58","Advanced Servoks","An Old Imperial component used in fabrication.","[""Items.CraftedResources"",""LootTier.1"",""Loot.OldImperial""]","2026-02-25 21:38:24.494667+00"
"59","Advanced Structure Patent","A set of advanced structures and refineries","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"60","Advanced Sub-Fief","Claims land to allow for building of structures","[""Items.Consumables.BuildableSets"",""LootTier.2"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"61","Advanced Survival Fabricator Patent","Fabricates survival items","[""Items.Consumables.BuildableSets"",""LootTier.3"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"62","Advanced Suspensor Jacket","A jacket rigged with wires that aid suspensor usage.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"63","Advanced Suspensor Jacket Schematic","Schematic for a jacket rigged with wires that aid suspensor usage.","[""Items.Schematics.Clothes.ScoutArmor"",""LootTier.5"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"64","Advanced Vehicle Fabricator Patent","Fabricates vehicle parts","[""Items.Consumables.BuildableSets"",""LootTier.3"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"65","Advanced Vehicles Fabricator","Fabricates Advanced vehicle parts","[""Items.Consumables.BuildableSets"",""LootTier.6"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"66","Advanced Weapons Fabricator Patent","Fabricates weapons","[""Items.Consumables.BuildableSets"",""LootTier.3"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange""]","2026-02-25 21:38:24.494667+00"
"67","Agave Seeds","Harvested from cactus crowns.","[""Items.RawResources.Misc"",""LootTier.4"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"68","Albatross Wing Module Mk4","A 'thopter wing designed for faster flight speeds","[""Items.Holsters.Deployables.VehicleBase.LightOrniCHOAM"",""LootTier.4"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"69","Albatross Wing Module Mk4 Schematic","A schematic for a 'thopter wing designed for faster flight speeds.","[""Items.Schematics.Deployables.VehicleExtra.LightOrniCHOAM"",""LootTier.4"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"70","Albatross Wing Module Mk5","A 'thopter wing designed for faster flight speeds","[""Items.Holsters.Deployables.VehicleBase.LightOrniCHOAM"",""LootTier.5"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"71","Albatross Wing Module Mk5 Schematic","A schematic for a 'thopter wing designed for faster flight speeds.","[""Items.Schematics.Deployables.VehicleExtra.LightOrniCHOAM"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"72","Albatross Wing Module Mk6","A 'thopter wing designed for faster flight speeds","[""Items.Holsters.Deployables.VehicleBase.LightOrniCHOAM"",""LootTier.6"",""Rarity.Rare"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"73","Albatross Wing Module Mk6 Schematic","A schematic for a 'thopter wing designed for faster flight speeds.","[""Items.Schematics.Deployables.VehicleExtra.LightOrniCHOAM"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"74","Altered Atreides Intel Log","","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"75","Altered letter from Anton","","[""Contract.Target.Item"",""Items.ExcludeFromExchange"",""Items.Contract""]","2026-02-25 21:38:24.494667+00"
"76","Aluminum Ingot","Refined Aluminum used in fabrication.","[""Items.RefinedResources.Metal"",""LootTier.4""]","2026-02-25 21:38:24.494667+00"
"77","Aluminum Ore","Ore from Aluminum deposits.","[""Items.RawResources.Metal"",""LootTier.4""]","2026-02-25 21:38:24.494667+00"
"78","Aluminum Welding Wire","Material used for repairing vehicles","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"79","Ambition","Ambition temp short desc","[""Items.Holsters.RangedWeapons.Heavy.Shotgun"",""Rarity.Rare"",""LootTier.6""]","2026-02-25 21:38:24.494667+00"
"80","Ambition Schematic","A unique schematic.","[""Items.Schematics.RangedWeapons.Heavy.Shotgun"",""LootTier.6"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"81","Ammo Pack: Heavy Darts","A full pack of heavy darts.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"82","Ammo Pack: Incendiary Gel","A full pack of Incendiary Gel","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"83","Ammo Pack: Light Darts","A full pack of light darts.","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"84","Aren's Boots","Unique boots designed by the warlord, Aren.","[""Items.Clothes.ScoutArmor.Feet"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"85","Aren's Boots Schematic","Schematic for unique boots designed by the warlord, Aren.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"86","Aren's Chestpiece","A unique chestpiece designed by the warlord, Aren.","[""Items.Clothes.ScoutArmor.Torso"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"87","Aren's Chestpiece Schematic","Schematic for a unique chestpiece designed by the warlord, Aren.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"88","Aren's Gloves","Unique gloves designed by the warlord, Aren.","[""Items.Clothes.ScoutArmor.Hands"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"89","Aren's Gloves Schematic","Schematic for unique gloves designed by the warlord, Aren.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"90","Aren's Mask","A unique mask designed by the warlord, Aren.","[""Items.Clothes.ScoutArmor.Head"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"91","Aren's Mask Schematic","Schematic for a unique mask designed by the warlord, Aren.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"92","Aren's Pants","Unique pants designed by the warlord, Aren.","[""Items.Clothes.ScoutArmor.Legs"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"93","Aren's Pants Schematic","Schematic for unique pants designed by the warlord, Aren.","[""Items.Schematics.Clothes.AssaultArmor"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"94","Aren's Vengeance","A modified battle rifle that fires bursts of darts.","[""Items.Holsters.RangedWeapons.Light.Rifle.BattleRifle"",""LootTier.1"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"95","Aren's Vengeance Schematic","Schematic for a modified battle rifle that fires bursts of darts.","[""Items.Schematics.RangedWeapons.Light.Rifle"",""LootTier.1"",""Rarity.Rare"",""LootPool.2""]","2026-02-25 21:38:24.494667+00"
"96","Arhun K-28 Lasgun","A heavily modified lasgun.","[""Items.Holsters.RangedWeapons.Heavy.Lasgun"",""LootTier.5"",""Rarity.Rare""]","2026-02-25 21:38:24.494667+00"
"97","Arhun K-28 Lasgun Schematic","Schematic for a heavily modified lasgun.","[""Items.Schematics.RangedWeapons.Exotic"",""LootTier.5"",""Rarity.Rare"",""LootPool.3""]","2026-02-25 21:38:24.494667+00"
"98","Ari's Pistol","Machine Pistol.","[""Items.Holsters.RangedWeapons.Light.Pistol"",""Items.ExcludeFromLootSystem"",""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Rarity.Memento""]","2026-02-25 21:38:24.494667+00"
"99","Armor Kit: Medium (Atreides)","A full suit of armor","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"100","Armor Kit: Medium (Harkonnen)","A full suit of armor","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"101","Armor Kit: Stillsuit (Arrakis)","A full stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"102","Armor Plating","A fabrication component found in loot.","[""Items.CraftedResources"",""LootTier.2"",""Loot.Component"",""Items.ExcludeFromLootSystem""]","2026-02-25 21:38:24.494667+00"
"104","Arrakeen Commoner Gloves","A pair of gloves in traditional Arrakeen fashion","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"105","Arrakeen Commoner Hat","A hat in traditional Arrakeen fashion","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"106","Arrakeen Commoner Pants","A pair of pants in traditional Arrakeen fashion","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"107","Arrakeen Commoner Shirt","A tunic in traditional Arrakeen fashion","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"108","Arrakeen Commoner Shoes","A pair of shoes in traditional Arrakeen fashion","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"109","Arrakeen Formal Pants","Formal pants in an Arrakeen style","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"110","Arrakeen Formal Shoes","Formal shoes in an Arrakeen style","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"111","Arrakeen Formal Top","Formal clothing in an Arrakeen style","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"112","Arrakeen Stillsuit 02 Schematic","Wearable Garment","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"113","Arrakeen Stillsuit 03 Schematic","Wearable Garment","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"114","Arrakeen Stillsuit 04 Schematic","Wearable Garment","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"115","Arrakeen Stillsuit 05 Schematic","Wearable Garment","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"116","Arrakeen Stillsuit Body","Native level stillsuit","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
"117","Arrakeen Stillsuit Boots","Native level stillsuit boots","[""Items.ExcludeFromExchange"",""Items.ExcludeFromPlayerSellingToVendor"",""Items.ExcludeFromPlayerBuyingFromVendor"",""Items.ExcludeFromLootSystem"",""Items.NotCustomizable""]","2026-02-25 21:38:24.494667+00"
